flick8k_clean_rn50_scratch,"{'i2t_R@1': 0.1, 'i2t_R@5': 0.5, 'i2t_R@10': 0.9, 'i2t_medr': 796.0, 't2i_R@1': 0.08, 't2i_R@5': 0.32, 't2i_R@10': 0.82, 't2i_meadri': 514.0}"
flick8k_clean_rn50_scratch,"{'i2t_R@1': 1.6, 'i2t_R@5': 6.2, 'i2t_R@10': 10.9, 'i2t_medr': 173.0, 't2i_R@1': 1.34, 't2i_R@5': 5.46, 't2i_R@10': 9.5, 't2i_meadri': 150.0}"
flickr8k_Random_rn50_scratch,"{'i2t_R@1': 0.1, 'i2t_R@5': 0.5, 'i2t_R@10': 1.0, 'i2t_medr': 790.0, 't2i_R@1': 0.1, 't2i_R@5': 0.5, 't2i_R@10': 1.04, 't2i_meadri': 502.0}"
flick8k_clean_rn50_scratch,"{'i2t_R@1': 3.4, 'i2t_R@5': 10.8, 'i2t_R@10': 16.1, 'i2t_medr': 100.0, 't2i_R@1': 2.46, 't2i_R@5': 9.82, 't2i_R@10': 14.6, 't2i_meadri': 89.0}"
flickr8k_Random_rn50_scratch,"{'i2t_R@1': 0.0, 'i2t_R@5': 0.7, 'i2t_R@10': 1.2, 'i2t_medr': 717.0, 't2i_R@1': 0.14, 't2i_R@5': 0.6, 't2i_R@10': 1.2, 't2i_meadri': 479.0}"
flick8k_clean_rn50_scratch,"{'i2t_R@1': 3.5, 'i2t_R@5': 13.6, 'i2t_R@10': 21.4, 'i2t_medr': 69.0, 't2i_R@1': 3.42, 't2i_R@5': 12.24, 't2i_R@10': 18.7, 't2i_meadri': 69.0}"
flickr8k_Random_rn50_scratch,"{'i2t_R@1': 0.1, 'i2t_R@5': 0.8, 'i2t_R@10': 1.5, 'i2t_medr': 726.0, 't2i_R@1': 0.14, 't2i_R@5': 0.78, 't2i_R@10': 1.44, 't2i_meadri': 423.0}"
flick8k_clean_rn50_scratch,"{'i2t_R@1': 4.7, 'i2t_R@5': 15.1, 'i2t_R@10': 22.3, 'i2t_medr': 62.0, 't2i_R@1': 3.96, 't2i_R@5': 13.4, 't2i_R@10': 19.4, 't2i_meadri': 64.0}"
flickr8k_Random_rn50_scratch,"{'i2t_R@1': 0.2, 'i2t_R@5': 1.0, 'i2t_R@10': 1.7, 'i2t_medr': 717.0, 't2i_R@1': 0.16, 't2i_R@5': 1.2, 't2i_R@10': 2.1, 't2i_meadri': 368.0}"
flick8k_clean_rn50_scratch,"{'i2t_R@1': 4.5, 'i2t_R@5': 15.6, 'i2t_R@10': 22.0, 'i2t_medr': 61.0, 't2i_R@1': 4.54, 't2i_R@5': 13.74, 't2i_R@10': 20.32, 't2i_meadri': 63.0}"
flickr8k_Random_rn50_scratch,"{'i2t_R@1': 0.5, 'i2t_R@5': 1.1, 'i2t_R@10': 2.2, 'i2t_medr': 649.0, 't2i_R@1': 0.26, 't2i_R@5': 1.4, 't2i_R@10': 2.64, 't2i_meadri': 341.0}"
flick8k_clean_rn50_scratch,"{'i2t_R@1': 4.9, 'i2t_R@5': 14.0, 'i2t_R@10': 21.6, 'i2t_medr': 68.0, 't2i_R@1': 3.78, 't2i_R@5': 13.26, 't2i_R@10': 19.92, 't2i_meadri': 68.0}"
flickr8k_Random_rn50_scratch,"{'i2t_R@1': 0.4, 'i2t_R@5': 1.5, 'i2t_R@10': 1.8, 'i2t_medr': 643.0, 't2i_R@1': 0.3, 't2i_R@5': 1.46, 't2i_R@10': 2.8, 't2i_meadri': 337.0}"
flick8k_clean_rn50_scratch,"{'i2t_R@1': 6.1, 'i2t_R@5': 15.9, 'i2t_R@10': 23.7, 'i2t_medr': 61.0, 't2i_R@1': 4.2, 't2i_R@5': 13.62, 't2i_R@10': 20.22, 't2i_meadri': 69.0}"
flickr8k_Random_rn50_scratch,"{'i2t_R@1': 0.2, 'i2t_R@5': 1.3, 'i2t_R@10': 2.1, 'i2t_medr': 646.0, 't2i_R@1': 0.42, 't2i_R@5': 1.48, 't2i_R@10': 2.6, 't2i_meadri': 324.0}"
flick8k_clean_rn50_scratch,"{'i2t_R@1': 5.3, 'i2t_R@5': 14.5, 'i2t_R@10': 20.6, 'i2t_medr': 63.0, 't2i_R@1': 4.72, 't2i_R@5': 12.74, 't2i_R@10': 19.1, 't2i_meadri': 71.0}"
flickr8k_Random_rn50_scratch,"{'i2t_R@1': 0.3, 'i2t_R@5': 1.0, 'i2t_R@10': 2.5, 'i2t_medr': 669.0, 't2i_R@1': 0.32, 't2i_R@5': 1.44, 't2i_R@10': 2.54, 't2i_meadri': 319.0}"
flick8k_clean_rn50_scratch,"{'i2t_R@1': 4.8, 'i2t_R@5': 14.2, 'i2t_R@10': 19.6, 'i2t_medr': 77.0, 't2i_R@1': 3.68, 't2i_R@5': 11.1, 't2i_R@10': 17.6, 't2i_meadri': 81.0}"
flickr8k_Random_rn50_scratch,"{'i2t_R@1': 0.4, 'i2t_R@5': 1.2, 'i2t_R@10': 2.0, 'i2t_medr': 588.0, 't2i_R@1': 0.38, 't2i_R@5': 1.48, 't2i_R@10': 2.92, 't2i_meadri': 304.0}"
flick8k_clean_rn50_scratch,"{'i2t_R@1': 3.6, 'i2t_R@5': 12.6, 'i2t_R@10': 20.3, 'i2t_medr': 72.0, 't2i_R@1': 3.44, 't2i_R@5': 11.1, 't2i_R@10': 17.42, 't2i_meadri': 80.0}"
flickr8k_Random_rn50_scratch,"{'i2t_R@1': 0.2, 'i2t_R@5': 1.3, 'i2t_R@10': 2.5, 'i2t_medr': 606.0, 't2i_R@1': 0.32, 't2i_R@5': 1.42, 't2i_R@10': 3.2, 't2i_meadri': 305.0}"
flick8k_clean_rn50_scratch,"{'i2t_R@1': 3.5, 'i2t_R@5': 12.5, 'i2t_R@10': 18.4, 'i2t_medr': 75.0, 't2i_R@1': 3.04, 't2i_R@5': 10.78, 't2i_R@10': 17.18, 't2i_meadri': 80.0}"
flickr8k_Random_rn50_scratch,"{'i2t_R@1': 0.4, 'i2t_R@5': 1.7, 'i2t_R@10': 2.5, 'i2t_medr': 585.0, 't2i_R@1': 0.34, 't2i_R@5': 1.6, 't2i_R@10': 3.2, 't2i_meadri': 306.0}"
flick8k_clean_rn50_scratch,"{'i2t_R@1': 3.9, 'i2t_R@5': 13.6, 'i2t_R@10': 20.8, 'i2t_medr': 68.0, 't2i_R@1': 4.22, 't2i_R@5': 12.44, 't2i_R@10': 18.74, 't2i_meadri': 72.0}"
flickr8k_Random_rn50_scratch,"{'i2t_R@1': 0.7, 'i2t_R@5': 1.9, 'i2t_R@10': 2.6, 'i2t_medr': 605.0, 't2i_R@1': 0.32, 't2i_R@5': 1.42, 't2i_R@10': 2.98, 't2i_meadri': 294.0}"
flick8k_clean_rn50_scratch,"{'i2t_R@1': 6.1, 'i2t_R@5': 15.3, 'i2t_R@10': 21.9, 'i2t_medr': 66.0, 't2i_R@1': 4.32, 't2i_R@5': 13.98, 't2i_R@10': 19.86, 't2i_meadri': 69.0}"
flickr8k_Random_rn50_scratch,"{'i2t_R@1': 0.7, 'i2t_R@5': 1.9, 'i2t_R@10': 3.4, 'i2t_medr': 578.0, 't2i_R@1': 0.4, 't2i_R@5': 1.7, 't2i_R@10': 3.5, 't2i_meadri': 289.0}"
flick8k_clean_rn50_scratch,"{'i2t_R@1': 4.9, 'i2t_R@5': 16.1, 'i2t_R@10': 23.1, 'i2t_medr': 66.0, 't2i_R@1': 4.54, 't2i_R@5': 13.04, 't2i_R@10': 19.9, 't2i_meadri': 72.0}"
flickr8k_Random_rn50_scratch,"{'i2t_R@1': 0.6, 'i2t_R@5': 2.3, 'i2t_R@10': 3.0, 'i2t_medr': 551.0, 't2i_R@1': 0.38, 't2i_R@5': 1.6, 't2i_R@10': 3.1, 't2i_meadri': 289.0}"
flick8k_clean_rn50_scratch,"{'i2t_R@1': 5.1, 'i2t_R@5': 14.1, 'i2t_R@10': 21.7, 'i2t_medr': 65.0, 't2i_R@1': 4.4, 't2i_R@5': 13.06, 't2i_R@10': 19.38, 't2i_meadri': 74.0}"
flickr8k_Random_rn50_scratch,"{'i2t_R@1': 0.6, 'i2t_R@5': 2.4, 'i2t_R@10': 3.9, 'i2t_medr': 526.0, 't2i_R@1': 0.42, 't2i_R@5': 1.88, 't2i_R@10': 3.56, 't2i_meadri': 289.0}"
flick8k_clean_rn50_scratch,"{'i2t_R@1': 3.4, 'i2t_R@5': 11.8, 'i2t_R@10': 18.1, 'i2t_medr': 75.0, 't2i_R@1': 3.06, 't2i_R@5': 10.92, 't2i_R@10': 16.86, 't2i_meadri': 86.0}"
flickr8k_Random_rn50_scratch,"{'i2t_R@1': 0.4, 'i2t_R@5': 2.0, 'i2t_R@10': 3.4, 'i2t_medr': 532.0, 't2i_R@1': 0.4, 't2i_R@5': 1.66, 't2i_R@10': 3.44, 't2i_meadri': 295.0}"
flick8k_clean_rn50_scratch,"{'i2t_R@1': 2.3, 'i2t_R@5': 10.9, 'i2t_R@10': 16.8, 'i2t_medr': 90.0, 't2i_R@1': 3.66, 't2i_R@5': 11.54, 't2i_R@10': 17.88, 't2i_meadri': 75.0}"
flickr8k_Random_rn50_scratch,"{'i2t_R@1': 0.2, 'i2t_R@5': 1.7, 'i2t_R@10': 3.0, 'i2t_medr': 519.0, 't2i_R@1': 0.56, 't2i_R@5': 1.84, 't2i_R@10': 3.46, 't2i_meadri': 294.0}"
flick8k_clean_rn50_scratch,"{'i2t_R@1': 4.9, 'i2t_R@5': 14.0, 'i2t_R@10': 20.4, 'i2t_medr': 81.0, 't2i_R@1': 4.26, 't2i_R@5': 13.84, 't2i_R@10': 20.14, 't2i_meadri': 72.0}"
flickr8k_Random_rn50_scratch,"{'i2t_R@1': 0.3, 'i2t_R@5': 1.5, 'i2t_R@10': 3.7, 'i2t_medr': 571.0, 't2i_R@1': 0.48, 't2i_R@5': 1.7, 't2i_R@10': 3.36, 't2i_meadri': 289.0}"
flick8k_clean_rn50_scratch,"{'i2t_R@1': 4.5, 'i2t_R@5': 13.7, 'i2t_R@10': 21.6, 'i2t_medr': 68.0, 't2i_R@1': 4.3, 't2i_R@5': 13.86, 't2i_R@10': 21.08, 't2i_meadri': 65.0}"
flickr8k_Random_rn50_scratch,"{'i2t_R@1': 0.3, 'i2t_R@5': 1.9, 'i2t_R@10': 3.4, 'i2t_medr': 511.0, 't2i_R@1': 0.48, 't2i_R@5': 1.86, 't2i_R@10': 3.24, 't2i_meadri': 303.0}"
flick8k_clean_rn50_scratch,"{'i2t_R@1': 4.4, 'i2t_R@5': 14.7, 'i2t_R@10': 21.9, 'i2t_medr': 71.0, 't2i_R@1': 4.88, 't2i_R@5': 13.96, 't2i_R@10': 21.16, 't2i_meadri': 66.0}"
flickr8k_Random_rn50_scratch,"{'i2t_R@1': 0.5, 'i2t_R@5': 1.3, 'i2t_R@10': 2.5, 'i2t_medr': 498.0, 't2i_R@1': 0.36, 't2i_R@5': 1.72, 't2i_R@10': 3.42, 't2i_meadri': 302.0}"
flick8k_clean_rn50_scratch,"{'i2t_R@1': 5.2, 'i2t_R@5': 15.6, 'i2t_R@10': 20.8, 'i2t_medr': 75.0, 't2i_R@1': 4.26, 't2i_R@5': 13.02, 't2i_R@10': 19.3, 't2i_meadri': 74.0}"
flickr8k_Random_rn50_scratch,"{'i2t_R@1': 0.2, 'i2t_R@5': 1.0, 'i2t_R@10': 2.2, 'i2t_medr': 522.0, 't2i_R@1': 0.36, 't2i_R@5': 1.66, 't2i_R@10': 3.3, 't2i_meadri': 296.0}"
flick8k_clean_rn50_scratch,"{'i2t_R@1': 3.2, 'i2t_R@5': 10.7, 'i2t_R@10': 16.5, 'i2t_medr': 104.0, 't2i_R@1': 3.88, 't2i_R@5': 11.62, 't2i_R@10': 17.0, 't2i_meadri': 81.0}"
flickr8k_Random_rn50_scratch,"{'i2t_R@1': 0.5, 'i2t_R@5': 1.1, 'i2t_R@10': 2.5, 'i2t_medr': 511.0, 't2i_R@1': 0.28, 't2i_R@5': 1.76, 't2i_R@10': 3.38, 't2i_meadri': 305.0}"
flick8k_clean_rn50_scratch,"{'i2t_R@1': 4.8, 'i2t_R@5': 14.2, 'i2t_R@10': 20.8, 'i2t_medr': 80.0, 't2i_R@1': 4.52, 't2i_R@5': 13.0, 't2i_R@10': 19.04, 't2i_meadri': 74.0}"
flickr8k_Random_rn50_scratch,"{'i2t_R@1': 0.6, 'i2t_R@5': 1.8, 'i2t_R@10': 2.8, 'i2t_medr': 482.0, 't2i_R@1': 0.32, 't2i_R@5': 1.52, 't2i_R@10': 3.1, 't2i_meadri': 301.0}"
flick8k_clean_rn50_scratch,"{'i2t_R@1': 4.9, 'i2t_R@5': 13.2, 'i2t_R@10': 20.2, 'i2t_medr': 69.0, 't2i_R@1': 4.22, 't2i_R@5': 13.92, 't2i_R@10': 20.18, 't2i_meadri': 66.0}"
flickr8k_Random_rn50_scratch,"{'i2t_R@1': 0.3, 'i2t_R@5': 1.5, 'i2t_R@10': 2.9, 'i2t_medr': 490.0, 't2i_R@1': 0.36, 't2i_R@5': 1.6, 't2i_R@10': 3.34, 't2i_meadri': 304.0}"
flick8k_clean_rn50_scratch,"{'i2t_R@1': 3.9, 'i2t_R@5': 13.7, 'i2t_R@10': 19.7, 'i2t_medr': 75.0, 't2i_R@1': 4.96, 't2i_R@5': 13.14, 't2i_R@10': 19.66, 't2i_meadri': 68.0}"
flickr8k_Random_rn50_scratch,"{'i2t_R@1': 0.2, 'i2t_R@5': 1.3, 'i2t_R@10': 3.0, 'i2t_medr': 503.0, 't2i_R@1': 0.36, 't2i_R@5': 1.84, 't2i_R@10': 3.24, 't2i_meadri': 299.0}"
flick8k_clean_rn50_scratch,"{'i2t_R@1': 5.3, 'i2t_R@5': 15.7, 'i2t_R@10': 22.6, 'i2t_medr': 68.0, 't2i_R@1': 4.56, 't2i_R@5': 14.18, 't2i_R@10': 20.56, 't2i_meadri': 68.0}"
flickr8k_Random_rn50_scratch,"{'i2t_R@1': 0.5, 'i2t_R@5': 1.4, 'i2t_R@10': 2.4, 'i2t_medr': 502.0, 't2i_R@1': 0.3, 't2i_R@5': 1.5, 't2i_R@10': 3.08, 't2i_meadri': 311.0}"
flick8k_clean_rn50_scratch,"{'i2t_R@1': 4.0, 'i2t_R@5': 12.8, 'i2t_R@10': 19.8, 'i2t_medr': 84.0, 't2i_R@1': 3.82, 't2i_R@5': 11.86, 't2i_R@10': 18.1, 't2i_meadri': 73.0}"
flickr8k_Random_rn50_scratch,"{'i2t_R@1': 0.3, 'i2t_R@5': 1.9, 'i2t_R@10': 2.6, 'i2t_medr': 497.0, 't2i_R@1': 0.32, 't2i_R@5': 1.54, 't2i_R@10': 2.92, 't2i_meadri': 310.0}"
flick8k_clean_rn50_scratch,"{'i2t_R@1': 3.1, 'i2t_R@5': 9.8, 'i2t_R@10': 16.6, 'i2t_medr': 105.0, 't2i_R@1': 3.64, 't2i_R@5': 11.48, 't2i_R@10': 17.1, 't2i_meadri': 78.0}"
flickr8k_Random_rn50_scratch,"{'i2t_R@1': 0.3, 'i2t_R@5': 1.6, 'i2t_R@10': 2.5, 'i2t_medr': 512.0, 't2i_R@1': 0.18, 't2i_R@5': 1.62, 't2i_R@10': 3.04, 't2i_meadri': 316.0}"
flick8k_clean_rn50_scratch,"{'i2t_R@1': 4.3, 'i2t_R@5': 12.8, 'i2t_R@10': 18.0, 'i2t_medr': 98.0, 't2i_R@1': 3.54, 't2i_R@5': 11.54, 't2i_R@10': 17.78, 't2i_meadri': 77.0}"
flickr8k_Random_rn50_scratch,"{'i2t_R@1': 0.1, 'i2t_R@5': 1.3, 'i2t_R@10': 2.7, 'i2t_medr': 500.0, 't2i_R@1': 0.34, 't2i_R@5': 1.68, 't2i_R@10': 3.02, 't2i_meadri': 326.0}"
flick8k_clean_rn50_scratch,"{'i2t_R@1': 5.1, 'i2t_R@5': 14.4, 'i2t_R@10': 21.1, 'i2t_medr': 81.0, 't2i_R@1': 4.58, 't2i_R@5': 12.32, 't2i_R@10': 18.94, 't2i_meadri': 74.0}"
flickr8k_Random_rn50_scratch,"{'i2t_R@1': 0.4, 'i2t_R@5': 1.3, 'i2t_R@10': 2.6, 'i2t_medr': 509.0, 't2i_R@1': 0.2, 't2i_R@5': 1.3, 't2i_R@10': 2.6, 't2i_meadri': 326.0}"
flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.1, 'i2t_R@5': 0.5, 'i2t_R@10': 0.9, 'i2t_medr': 783.0, 't2i_R@1': 0.14, 't2i_R@5': 0.64, 't2i_R@10': 1.06, 't2i_meadri': 503.0}"
flick8k_clean_rn50_scratch,"{'i2t_R@1': 5.0, 'i2t_R@5': 12.8, 'i2t_R@10': 18.0, 'i2t_medr': 85.0, 't2i_R@1': 3.78, 't2i_R@5': 12.64, 't2i_R@10': 19.46, 't2i_meadri': 70.0}"
flickr8k_Random_rn50_scratch,"{'i2t_R@1': 0.2, 'i2t_R@5': 1.7, 'i2t_R@10': 2.7, 'i2t_medr': 532.0, 't2i_R@1': 0.18, 't2i_R@5': 1.52, 't2i_R@10': 2.9, 't2i_meadri': 328.0}"
flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.0, 'i2t_R@5': 0.8, 'i2t_R@10': 1.2, 'i2t_medr': 749.0, 't2i_R@1': 0.06, 't2i_R@5': 0.7, 't2i_R@10': 1.32, 't2i_meadri': 461.0}"
flick8k_clean_rn50_scratch,"{'i2t_R@1': 4.0, 'i2t_R@5': 12.2, 'i2t_R@10': 17.7, 'i2t_medr': 91.0, 't2i_R@1': 4.08, 't2i_R@5': 12.38, 't2i_R@10': 18.58, 't2i_meadri': 78.0}"
flickr8k_Random_rn50_scratch,"{'i2t_R@1': 0.2, 'i2t_R@5': 1.2, 'i2t_R@10': 2.5, 'i2t_medr': 494.0, 't2i_R@1': 0.32, 't2i_R@5': 1.56, 't2i_R@10': 3.04, 't2i_meadri': 324.0}"
flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.1, 'i2t_R@5': 0.7, 'i2t_R@10': 1.4, 'i2t_medr': 840.0, 't2i_R@1': 0.2, 't2i_R@5': 0.8, 't2i_R@10': 1.8, 't2i_meadri': 413.0}"
flickr8k_Random_rn50_scratch,"{'i2t_R@1': 0.1, 'i2t_R@5': 1.3, 'i2t_R@10': 2.0, 'i2t_medr': 515.0, 't2i_R@1': 0.26, 't2i_R@5': 1.48, 't2i_R@10': 2.66, 't2i_meadri': 320.0}"
flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.2, 'i2t_R@5': 0.8, 'i2t_R@10': 1.2, 'i2t_medr': 802.0, 't2i_R@1': 0.14, 't2i_R@5': 0.96, 't2i_R@10': 2.06, 't2i_meadri': 372.0}"
flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.2, 'i2t_R@5': 0.4, 'i2t_R@10': 0.6, 'i2t_medr': 749.0, 't2i_R@1': 0.18, 't2i_R@5': 1.32, 't2i_R@10': 2.2, 't2i_meadri': 349.0}"
flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.1, 'i2t_R@5': 0.4, 'i2t_R@10': 1.0, 'i2t_medr': 745.0, 't2i_R@1': 0.2, 't2i_R@5': 1.32, 't2i_R@10': 2.28, 't2i_meadri': 337.0}"
flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.1, 'i2t_R@5': 0.4, 'i2t_R@10': 1.2, 'i2t_medr': 769.0, 't2i_R@1': 0.3, 't2i_R@5': 1.28, 't2i_R@10': 2.52, 't2i_meadri': 322.0}"
flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.1, 'i2t_R@5': 1.0, 'i2t_R@10': 1.8, 'i2t_medr': 718.0, 't2i_R@1': 0.34, 't2i_R@5': 1.44, 't2i_R@10': 2.66, 't2i_meadri': 323.0}"
flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.1, 'i2t_R@5': 1.0, 'i2t_R@10': 2.4, 'i2t_medr': 650.0, 't2i_R@1': 0.28, 't2i_R@5': 1.3, 't2i_R@10': 2.8, 't2i_meadri': 310.0}"
flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.1, 'i2t_R@5': 1.3, 'i2t_R@10': 1.9, 'i2t_medr': 650.0, 't2i_R@1': 0.34, 't2i_R@5': 1.62, 't2i_R@10': 3.1, 't2i_meadri': 309.0}"
flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.2, 'i2t_R@5': 0.9, 'i2t_R@10': 1.8, 'i2t_medr': 651.0, 't2i_R@1': 0.2, 't2i_R@5': 1.5, 't2i_R@10': 2.92, 't2i_meadri': 308.0}"
flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.0, 'i2t_R@5': 1.0, 'i2t_R@10': 2.0, 'i2t_medr': 686.0, 't2i_R@1': 0.24, 't2i_R@5': 1.48, 't2i_R@10': 2.94, 't2i_meadri': 313.0}"
flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.1, 'i2t_R@5': 1.3, 'i2t_R@10': 2.0, 'i2t_medr': 649.0, 't2i_R@1': 0.22, 't2i_R@5': 1.58, 't2i_R@10': 3.12, 't2i_meadri': 304.0}"
flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.0, 'i2t_R@5': 1.3, 'i2t_R@10': 2.2, 'i2t_medr': 615.0, 't2i_R@1': 0.34, 't2i_R@5': 1.64, 't2i_R@10': 3.16, 't2i_meadri': 303.0}"
flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.1, 'i2t_R@5': 1.1, 'i2t_R@10': 2.1, 'i2t_medr': 619.0, 't2i_R@1': 0.32, 't2i_R@5': 1.62, 't2i_R@10': 3.0, 't2i_meadri': 308.0}"
flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.1, 'i2t_R@5': 0.9, 'i2t_R@10': 2.2, 'i2t_medr': 616.0, 't2i_R@1': 0.28, 't2i_R@5': 1.48, 't2i_R@10': 3.0, 't2i_meadri': 299.0}"
flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.0, 'i2t_R@5': 0.6, 'i2t_R@10': 1.3, 'i2t_medr': 628.0, 't2i_R@1': 0.28, 't2i_R@5': 1.78, 't2i_R@10': 3.46, 't2i_meadri': 306.0}"
flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.0, 'i2t_R@5': 0.7, 'i2t_R@10': 1.5, 'i2t_medr': 605.0, 't2i_R@1': 0.26, 't2i_R@5': 1.86, 't2i_R@10': 3.26, 't2i_meadri': 297.0}"
flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.0, 'i2t_R@5': 0.9, 'i2t_R@10': 1.6, 'i2t_medr': 576.0, 't2i_R@1': 0.28, 't2i_R@5': 1.74, 't2i_R@10': 3.06, 't2i_meadri': 307.0}"
flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.1, 'i2t_R@5': 0.7, 'i2t_R@10': 2.0, 'i2t_medr': 594.0, 't2i_R@1': 0.28, 't2i_R@5': 1.9, 't2i_R@10': 3.24, 't2i_meadri': 309.0}"
flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.1, 'i2t_R@5': 1.0, 'i2t_R@10': 1.5, 'i2t_medr': 566.0, 't2i_R@1': 0.18, 't2i_R@5': 1.64, 't2i_R@10': 3.04, 't2i_meadri': 312.0}"
flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.2, 'i2t_R@5': 0.8, 'i2t_R@10': 2.2, 'i2t_medr': 570.0, 't2i_R@1': 0.3, 't2i_R@5': 1.7, 't2i_R@10': 3.02, 't2i_meadri': 314.0}"
flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.2, 'i2t_R@5': 0.9, 'i2t_R@10': 1.9, 'i2t_medr': 563.0, 't2i_R@1': 0.16, 't2i_R@5': 1.68, 't2i_R@10': 3.16, 't2i_meadri': 315.0}"
flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.1, 'i2t_R@5': 0.7, 'i2t_R@10': 1.5, 'i2t_medr': 546.0, 't2i_R@1': 0.28, 't2i_R@5': 1.66, 't2i_R@10': 3.02, 't2i_meadri': 322.0}"
flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.1, 'i2t_R@5': 0.9, 'i2t_R@10': 1.8, 'i2t_medr': 517.0, 't2i_R@1': 0.2, 't2i_R@5': 1.54, 't2i_R@10': 2.84, 't2i_meadri': 317.0}"
flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.3, 'i2t_R@5': 0.9, 'i2t_R@10': 1.8, 'i2t_medr': 559.0, 't2i_R@1': 0.26, 't2i_R@5': 1.56, 't2i_R@10': 2.82, 't2i_meadri': 320.0}"
flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.2, 'i2t_R@5': 0.7, 'i2t_R@10': 1.8, 'i2t_medr': 523.0, 't2i_R@1': 0.24, 't2i_R@5': 1.62, 't2i_R@10': 2.62, 't2i_meadri': 324.0}"
flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.2, 'i2t_R@5': 0.8, 'i2t_R@10': 1.2, 'i2t_medr': 518.0, 't2i_R@1': 0.24, 't2i_R@5': 1.5, 't2i_R@10': 2.76, 't2i_meadri': 329.0}"
flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.2, 'i2t_R@5': 1.0, 'i2t_R@10': 1.7, 'i2t_medr': 578.0, 't2i_R@1': 0.36, 't2i_R@5': 1.54, 't2i_R@10': 2.62, 't2i_meadri': 328.0}"
flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.2, 'i2t_R@5': 1.1, 'i2t_R@10': 2.0, 'i2t_medr': 531.0, 't2i_R@1': 0.3, 't2i_R@5': 1.26, 't2i_R@10': 2.64, 't2i_meadri': 337.0}"
flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.3, 'i2t_R@5': 1.3, 'i2t_R@10': 1.6, 'i2t_medr': 503.0, 't2i_R@1': 0.28, 't2i_R@5': 1.36, 't2i_R@10': 2.3, 't2i_meadri': 337.0}"
test_flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.1, 'i2t_R@5': 0.5, 'i2t_R@10': 0.9, 'i2t_medr': 809.0, 't2i_R@1': 0.12, 't2i_R@5': 0.62, 't2i_R@10': 1.04, 't2i_meadri': 502.0}"
test_flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.2, 'i2t_R@5': 1.1, 'i2t_R@10': 1.8, 'i2t_medr': 577.0, 't2i_R@1': 0.14, 't2i_R@5': 0.8, 't2i_R@10': 1.44, 't2i_meadri': 385.0}"
test_flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.0, 'i2t_R@5': 1.3, 'i2t_R@10': 3.0, 'i2t_medr': 452.0, 't2i_R@1': 0.34, 't2i_R@5': 1.48, 't2i_R@10': 2.72, 't2i_meadri': 287.0}"
test_flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.4, 'i2t_R@5': 3.1, 'i2t_R@10': 5.3, 'i2t_medr': 325.0, 't2i_R@1': 0.48, 't2i_R@5': 1.9, 't2i_R@10': 3.62, 't2i_meadri': 242.0}"
test2_flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.1, 'i2t_R@5': 0.5, 'i2t_R@10': 1.0, 'i2t_medr': 732.0, 't2i_R@1': 0.1, 't2i_R@5': 0.48, 't2i_R@10': 0.92, 't2i_meadri': 500.0}"
test_flickr8k_T2UE_rn50_scratch,"{'i2t_R@1': 0.7, 'i2t_R@5': 3.4, 'i2t_R@10': 6.9, 'i2t_medr': 288.0, 't2i_R@1': 0.68, 't2i_R@5': 2.68, 't2i_R@10': 4.7, 't2i_meadri': 216.0}"
